Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
fluent,mystery,prob20.pddl,mc2d-dt4,14189,463,1.2787270546,segfault,segfault,176.280000001
fluent,mystery,prob20.pddl,bddminisat,14189,463,1.2787270546,memout,memout,7.69999999925
fluent,mystery,prob20.pddl,mc2d-dt0,14189,463,1.2787270546,segfault,segfault,201.719999999
fluent,mystery,prob20.pddl,dsharp,14189,463,1.2787270546,memout,memout,80.6999999993
fluent,mystery,prob21.pddl,sharpSAT,11115,682,0.986969947815,memout,memout,304.0
fluent,mystery,prob21.pddl,c2d-dt0,11115,682,0.986969947815,timeout,timeout,1805.82
fluent,mystery,prob21.pddl,cnf2bdd,11115,682,0.986969947815,timeout,timeout,1804.95
fluent,mystery,prob21.pddl,c2d-dt4,11115,682,0.986969947815,timeout,timeout,1805.08
fluent,mystery,prob21.pddl,mc2d-dt4,11115,682,0.986969947815,segfault,segfault,240.34
fluent,mystery,prob21.pddl,bddminisat,11115,682,0.986969947815,memout,memout,83.3399999999
fluent,mystery,prob21.pddl,mc2d-dt0,11115,682,0.986969947815,segfault,segfault,697.670000002
fluent,mystery,prob21.pddl,dsharp,11115,682,0.986969947815,memout,memout,152.260000002
fluent,mystery,prob22.pddl,sharpSAT,37029,959,3.66284179688,memout,memout,481.68
fluent,mystery,prob22.pddl,c2d-dt0,37029,959,3.66284179688,timeout,timeout,1802.97
fluent,mystery,prob22.pddl,cnf2bdd,37029,959,3.66284179688,timeout,timeout,1802.78
fluent,mystery,prob22.pddl,c2d-dt4,37029,959,3.66284179688,timeout,timeout,1802.28
fluent,mystery,prob22.pddl,mc2d-dt4,37029,959,3.66284179688,segfault,segfault,160.449999999
fluent,mystery,prob22.pddl,bddminisat,37029,959,3.66284179688,memout,memout,9.81000000238
fluent,mystery,prob22.pddl,mc2d-dt0,37029,959,3.66284179688,segfault,segfault,368.709999997
